url,is_ai,note,title,author
https://www.douyin.com/video/6969391535167130888,,,当#秦始皇帝陵文化遇上现代工艺,秦始皇帝陵博物院
https://www.douyin.com/video/6974675890206772510,,,清凉盛夏，“俑”你相伴，快来#秦始皇帝陵博物馆体验吧！#夏,秦始皇帝陵博物院
https://www.douyin.com/video/6983584335093878050,,,#治愈系风景 一起来晒夏日的暖阳！#旅行 ,秦始皇帝陵博物院
https://www.douyin.com/video/6984973151792794888,,,#沉浸式体验数字博物院，足不出户在家体验不一样的#秦始皇帝陵博物院 ,秦始皇帝陵博物院
https://www.douyin.com/video/6992209924495281421,,,闭馆期间不定期带你们云游#铜车马展厅。今天带来的是安车哟！#全民防疫 ,秦始皇帝陵博物院
https://www.douyin.com/video/6992210158201949453,,,闭馆期间不定期带你们云游#铜车马展厅。今天带来的是立车哟！#全民防疫 ,秦始皇帝陵博物院
https://www.douyin.com/video/6992210527053270303,,,闭馆期间不定期带你们云游#铜车马展厅。今天带你们看铜车马馆的沙盘哟！#全民防疫 ,秦始皇帝陵博物院
https://www.douyin.com/video/7008832598675836200,,,来咧！来咧！来咧！#平行时空——在希腊遇见#兵马俑，宣传片来咧！,秦始皇帝陵博物院
https://www.douyin.com/video/7010958891949296909,,,世界“豪车”换“车位”，#秦陵铜车马启运新馆 ，今晚九点半，我们#央视 十套《探索发现》不见不散哦！,秦始皇帝陵博物院
https://www.douyin.com/video/7012056465556917518,,,不去提雨，怎样描述雨很大#我慢慢听雨落下的声音#下雨天 ,秦始皇帝陵博物院
https://www.douyin.com/video/7012531656917617934,,,#秦陵铜车马启运新馆 明天新馆正式开馆哦！早上十点直播。记得来看哟！,秦始皇帝陵博物院
https://www.douyin.com/video/7012801627908230414,,,好久没见的#晴天。正在直播铜车马馆开馆。快点进来看哦！,秦始皇帝陵博物院
https://www.douyin.com/video/7013936052633160994,,,#祖国万岁 何其荣幸.生于华夏。祝大家国庆假期快乐！,秦始皇帝陵博物院
https://www.douyin.com/video/7016532744406715662,,,这个十一在#秦始皇帝陵博物院你可以看到许多许多！#每一帧都是热爱 #保持热爱奔赴山海 ,秦始皇帝陵博物院
https://www.douyin.com/video/7044801251413855523,,,闭馆不必展，居家看展览！秦始皇帝陵博物院推出“线上奕彩——数字展演”专题。第一展“纤毫重现”，200亿像素带你云游一号坑，这可能是你离兵马俑最近的一次体验。#西安加油！,秦始皇帝陵博物院
https://www.douyin.com/video/7045208164253420814,,,携手抗疫，#长安常安#防疫必胜 ,秦始皇帝陵博物院
https://www.douyin.com/video/7045208768342199589,,,#核酸检测时应注意的问题#防疫小贴士 ,秦始皇帝陵博物院
https://www.douyin.com/video/7045465870734331136,,,世界“豪车”换“车位”是一种什么样的体验？本期“线上奕彩——秦始皇帝陵博物院数字展演”系列，和大家一起来回顾一下《秦陵铜车马搬迁记》,秦始皇帝陵博物院
https://www.douyin.com/video/7046629928569261343,,,#长安 #长安常安 加油！明天会更好#医务人员最可爱 ,秦始皇帝陵博物院
https://www.douyin.com/video/7048602725180869926,,,【西安防疫志愿者新年心愿：期待游人如织，车水马龙】杨新娟是西安临潼一名防疫志愿者，主要参与社区志愿服务活动。2022年，她最大的心愿就是希望通过大家的齐心抗疫，能早日战胜疫情，让千年古都西安早日恢复常态，露出笑颜，重启游人如织、车水马龙的美好生活。同时她也很感恩家人的陪伴，感谢亲朋好友的关心挂念，谢谢生命中的每一次遇见，希望新的一年我们都平安健康，快乐幸福。#志愿者在行动 #我在岗位上 ,秦始皇帝陵博物院
https://www.douyin.com/video/7050471777968901407,,,#西安长安 穿越寒冬，我们终将相遇。（感谢视频内容提供者@瞰长安影视工作室 @xiamu（夏目） @nisir）,秦始皇帝陵博物院
https://www.douyin.com/video/7057701471491493156,,,2022冬季奥运会项目介绍,秦始皇帝陵博物院
https://www.douyin.com/video/7058793894569315592,,,“青铜之冠”铜车马系列银箔及“大秦雄风”系列银章正式发行,秦始皇帝陵博物院
https://www.douyin.com/video/7084049476331113769,,,云展览！参观秦始皇陵必看——“青铜之冠—秦陵彩绘铜车马”展，正在参评#全国十大陈列展览精品 ，史上最豪华的马车和最精彩的展示，等您来支持,秦始皇帝陵博物院
https://www.douyin.com/video/7089407342466305294,,,《走近考古》系列短视频即将推出，一起观看预告，先睹为快～#考古发掘 ,秦始皇帝陵博物院
